Date;Price;Open;High;Low;Vol.;Change %
12/13/2015;1,065.00;1,073.00;1,077.90;1,046.80;671.21K;-0.99%
12/20/2015;1,075.90;1,065.20;1,081.40;1,063.10;321.93K;1.02%
12/27/2015;1,060.20;1,075.20;1,076.50;1,056.50;312.92K;-1.46%
1/3/2016;1,097.90;1,061.50;1,113.10;1,061.00;866.94K;3.56%
1/10/2016;1,090.70;1,103.60;1,108.30;1,071.10;864.67K;-0.66%
01/17/2016;1,096.30;1,089.30;1,109.90;1,082.10;674.87K;0.51%
01/24/2016;1,116.40;1,097.80;1,128.00;1,097.60;827.22K;1.83%
01/31/2016;1,157.70;1,118.00;1,175.00;1,115.30;817.59K;3.70%
2/7/2016;1,239.40;1,174.00;1,263.90;1,164.50;1.17M;7.06%
02/14/2016;1,230.80;1,236.30;1,240.60;1,191.50;869.63K;-0.69%
02/21/2016;1,220.40;1,226.90;1,254.30;1,202.50;1.05M;-0.84%
02/28/2016;1,270.70;1,223.10;1,280.70;1,216.30;1.18M;4.12%
3/6/2016;1,259.40;1,260.50;1,287.80;1,237.50;1.18M;-0.89%
03/13/2016;1,254.30;1,250.90;1,271.90;1,226.00;962.89K;-0.40%
03/20/2016;1,221.60;1,255.20;1,260.90;1,211.20;808.22K;-2.61%
03/27/2016;1,223.50;1,216.00;1,246.80;1,206.00;832.97K;0.16%
4/3/2016;1,243.80;1,223.00;1,245.00;1,215.70;705.26K;1.66%
4/10/2016;1,234.60;1,241.80;1,264.70;1,225.40;800.23K;-0.74%
04/17/2016;1,230.00;1,236.30;1,272.40;1,228.50;1.01M;-0.37%
04/24/2016;1,290.50;1,234.50;1,299.00;1,231.30;941.60K;4.92%
5/1/2016;1,294.00;1,293.20;1,306.00;1,270.60;1.06M;0.27%
5/8/2016;1,272.70;1,286.70;1,289.50;1,258.30;1.03M;-1.65%
05/15/2016;1,252.90;1,273.10;1,290.40;1,244.60;1.11M;-1.56%
05/22/2016;1,216.70;1,251.70;1,256.80;1,209.00;1.19M;-2.89%
05/29/2016;1,242.90;1,215.10;1,247.40;1,201.50;749.07K;2.15%
